# colloquial surface -> English canonical, for `indicator build-lexicon --aliases`.
# Generated by fine-tuning/tool_aliases.py from the benchmark indicator sheets;
# edit those, or add curated rows below the generated block, and regenerate.
# 2,229 pairs over 2,193 surfaces, from 3,370 sheet rows.
%BC	% B Cell
%CTNKC	% Cytotoxic NK cells
%Lym	% Lymphocyte
%NKC	% NK Cell
%NKT	% NKT
%RTC	% Regulatory T Cell
%TC	% T Cell
%TCT(CD8)C	% Cytotoxic (CD8) T Cell
%TTH(CD4)C	% T-Helper (CD4) Cell
%TTH17C	% T-Helper-17
%TTH1C	% T-Helper-1 Cell
%TTH2C	% T-Helper-2 Cell
%ω-3	%Omega-3s
抗Jo-1抗体结果	JO1 INTERPRETATION
抗Ku抗体	Anti-Ku antibodies
抗La抗体	Anti-La antibodies
抗MDA-5抗体	Anti-melanoma differentiation-associated protein 5 antibody
抗MI-2抗体	Anti-Mi-2 antibody
抗Mi-2α抗体	Anti-Mi-2α antibody
抗Mi-2β抗体	Anti-Mi-2β antibody
抗NXP-2（P140）抗体	Anti-NXP-2 (P140) antibody
抗OJ抗体	Anti-OJ antibody
抗PL-12抗体	Anti-PL-12 antibody
抗PL-7抗体	Anti-PL-7 antibody
抗PM/Scl-100抗体	Anti-PM/Scl-100 antibody
抗PM/Scl-75抗体	Anti-PM/Scl-75 antibody
抗RNP抗体	Anti-ribonucleoprotein antibodies
抗Ro52抗体	Anti-Ro52 antibody
抗Ro抗体	Anti-Ro antibodies
抗SAE1抗体	Anti-SAE1 antibody
抗SCL-70抗体	Anti-SCL-70 antibody
抗SRP抗体	Anti-SRP antibody
抗Scl-70抗体结果	SCL 70 INTERP
抗Sm抗体	Anti-Smith antibodies
抗β2糖蛋白I抗体	Anti-beta-2-glycoprotein I antibody
抗中性粒细胞胞浆抗体	Anti-neutrophil cytoplasmic antibodies
抗凝血酶III	Antithrombin III
抗双链DNA抗体	Anti-Double-Stranded DNA Antibodies
抗小泛素样修饰激活酶1抗体	Anti-Small Ubiquitin-like Modifier 1 Antibody
抗心磷脂抗体IgA	IgA anti-cardiolipin antibody
抗心磷脂抗体IgG	IgG anti-cardiolipin antibody
抗心磷脂抗体IgM	IgM anti-cardiolipin antibody
抗接触蛋白相关蛋白2抗体	Anti-contactin associated protein-like 2 antibody
抗核周因子	anti-perinuclear factor（APF）
抗核基质蛋白2抗体	Anti-Nuclear Matrix Protein 2 Antibody
抗核抗体	Antinuclear Antibody
抗核抗体筛查	Antinuclear Antibody Screening
抗核糖核蛋白抗体	Anti-ribonucleoprotein antibody
抗环瓜氨酸肽IgG抗体	Anti-Cyclic Citrullinated Peptide IgG antibody
抗环瓜氨酸肽抗体	Anti-cyclic citrullinated peptide antibody
抗瓜氨酸化蛋白IgG抗体	Anti-Citrullinated Protein IgG Antibodies
抗瓜氨酸化蛋白IgG抗体水平	anti-citrullinated protein IgG antibody level
抗神经元核抗体1型	Anti - neuronal nuclear antibody type 1
抗神经元核抗体2型	Anti - neuronal nuclear antibody type 2
抗神经元核抗体3型	Anti - neuronal nuclear antibody type 3
抗神经节苷脂抗体1型	Anti-Ganglioside Antibody Type 1
抗突变型瓜氨酸波形蛋白抗体	Anti-Mutated Citrullinated Vimentin
抗线粒体抗体	Anti-mitochondrial antibody
抗组织转谷氨酰胺酶IgA抗体	Anti-Tissue Transglutaminase IgA Antibodies
抗组织转谷氨酰胺酶IgA抗体水平	Anti TTG IgA Level
抗组织转谷氨酰胺酶IgG抗体	Anti-Tissue Transglutaminase IgG Antibodies
抗细胞核抗原1A抗体	Anti - nuclear antigen 1A antibody
抗缪勒管激素	Anti-Müllerian Hormone
抗肝细胞溶质抗原-1抗体	Anti-liver cytosol type 1 antibody
抗肝肾微粒体抗体	Anti-liver kidney microsomal antibody
抗胞质5'-核苷酸酶1A抗体	Anti-cytosolic 5'-nucleotidase 1A antibody
抗胰岛素抗体	insulin autoantibody
抗脱酰胺醇溶蛋白肽IgA抗体	Anti-Deamidated Gliadin Peptide IgA Antibodies
抗角蛋白抗体	Anti-keratin antibody
抗酿酒酵母抗体 + 抗中性粒细胞胞浆抗体	Anti - Saccharomyces Cerevisiae Antibody + Anti - Neutrophil Cytoplasmic Antibody
抗链球菌溶血素O	Anti-Streptolysin O
抗黑色素瘤分化相关基因5抗体	Anti-melanoma differentiation-associated gene 5 antibody
护士病程记录	Nurse progress notes
护理团队	Care team
抽烟史	smoking history
持续睡眠效率（百分比）	Sustained Sleep Eff. [%]
推荐	recommendation
操作	Procedures
操作程序或手术过程	procedures
新型冠状病毒IgG	Novel Coronavirus IgG
新型冠状病毒IgM抗体	Novel Coronavirus IgM Antibody
无机盐类	Inorganic Salts
无花果	Fig
无麸质酱油	Soy Sauce, gluten-free
既往史	Past Medical History
既往手术史	Past surgical history
日本血吸虫IgG抗体	Schistosoma japonicum IgG antibody
明胶	Gelatin
星状病毒	Astrovirus
普拉梭菌	Faecalibacterium prausnitzii
普通拟杆菌	Phocaeicola vulgatus
普雷沃氏菌属	Prevotella spp
曲霉	Aspergilus
曲霉菌S.维里迪斯抗体	Aspergillus S. viridis antibody
曲霉菌属1型抗体	Aspergillus Type 1 Antibody
曲霉菌属2型抗体	Aspergillus Type 2 Antibody
曲霉菌属3型抗体	Aspergillus Type 3 Antibody
曲霉菌属6型抗体	Aspergillus Type 6 Antibody
曲霉菌抗体	Aspergillus Antibody
最大分钟通气量	Maximum Voluntary Ventilation
最大呼气中期流量	Forced Expiratory Flow at 25-75%
最大心率（次 / 分钟）	Maximum HR [bpm]
最小心率（次 / 分钟）	Minimum HR [bpm]
月桂酸	LAURIC ACID
有核红细胞百分比	Nucleated Red Blood Cell Percentage
有核红细胞绝对值	Absolute value of nucleated red blood cells
木瓜	Papaya
木薯淀粉	Tapioca
未定义的呼吸暂停	Undef A.
杀伤性T淋巴细胞	Cytotoxic T Lymphocyte
杀伤性T淋巴细胞绝对计数	Absolute Cytotoxic T Lymphocyte Count
李凡他试验	Rivanol Test
李子	Plum
杏仁	Almond
杏子	Apricot
杨树	Poplar
果糖敏感性	Fructose Sensitivity
枝孢霉	Cladosporium
枣	Date
染色质抗体	Chromatin Antibodies
柠檬 + 酸橙	Lemon + Lime
柯萨奇病毒A16型IGM抗体	Coxsackievirus A16 IgM Antibody
柯萨奇病毒抗体	Coxsackie Virus Antibody
柳树	Willow
标准碱剩余	Standard base excess
标准碳酸氢根浓度（P）	Standard Bicarbonate(P)
标本满意度	Specimen Satisfaction
标识信息	Identifier
树花粉组合	Tree pollen mix
核基质蛋白-22	Nuclear Matrix Protein-22
核桃	Walnut
核黄素	Vitamin B2
桃	Peach
桃子 + 油桃	Peach + Nectarine
桑树	Mulberry
桤树	Alder
桦	Birch
梅毒抗体	Syphilis Antibody
梅毒螺旋体IgM抗体	Treponema Pallidum IgM Antibody
梧桐	Sycamore
梨	Pear
梯牧草	Timothy Grass
检查名称	examination
检查或治疗的建议	Recommendations for Examination or Treatment
检查所见	finding
检查结果	Results
检查结果	impression
检测结果	Test Results
棕榈油酸	Palmitoleic
棕榈油酸（7-顺式）	Palmitic acid 7-isomer
棕榈酸	Palmitic Acid
椰肉 + 椰汁	Coconut, meat + water
榆树	Elm
樱桃	Cherry
橄榄树	Olive
橙子	Orange
橙汁	Orange Juice
橡树	Oak
橡胶树橡胶蛋白	Latex Hevein
欧米伽 - 3 指数	Omega-3 Index
欧米伽 - 6 系列脂肪酸 / 欧米伽 - 3 系列脂肪酸	Omega-6s /Omega-3s
欧芹	Parsley
正丁酸盐浓度	n-Butyrate Concentration
正丁酸盐百分比	n-Butyrate %
残粒样脂蛋白胆固醇	Remnant-Like Lipoprotein Cholesterol
每小时尿钙排泄	Calcium Excretion per hour
每小时肌酐排泄	creatinine excretion per hour
毛滴虫	Trichomonads (e.g. Pentatrichomonas)
氧分压	Partial Pressure of Oxygen
氧化低密度脂蛋白	Oxidized Low-Density Lipoprotein
氧合血红蛋白	Oxyhemoglobin
氧饱和度	Oxygen Saturation
氨基末端交联肽	N-Terminal Cross-Linked Peptide
氨基末端交联肽末端肽	N-Terminal Cross-Linked Peptide Terminal Peptide
氨曲南	Aztreonam
氨苄西林	Ampicillin
水杨酰肉碱	Salicylcarnitine
水比例	Water Ratio
水稻内切几丁质酶	Rice Endochitinase
汞	Mercury
汞化合物 IgG+IgA	Mercury Compounds IgG+IgA
汞化合物 IgM	Mercury Compounds IgM
沉渣病理管型	Pathological Casts in Sediment
沉渣白细胞	White Blood Cells in Sediment
沉渣红细胞	Red Blood Cells in Sediment
沉渣草酸盐一水合物	Oxalate Monohydrate in Sediment
沉渣草酸盐二水合物	Oxalate Dihydrate in Sediment
沉渣透明管型	Hyaline Casts in Sediment
沉渣非鳞状上皮	Non-Squamous Epithelial Cells in Sediment
沙门氏菌属	Salmonella spp.
沙门菌	Salmonella
油菜籽油质蛋白	Canola Oleosin
油酰肉碱	OLEYLCARNITINE C18:1
油酸	Oleic Acid
油酸 18:1 n-9	Oleic 18:1n9
油酸/肌酐比	Oleic acid/Creatinine Ratio
油酸（9-顺式）	Oleic acid 9-isomer
治疗史	treatment history
治疗计划	Plan of treatment
治疗计划	plan of treatment
泛酸	Pantothenate
波列基内阿米巴	Entamoeba polecki
洋葱	onion
洋葱 + 葱	Onion + Scallion
活化部分凝血活酶时间	Activated Partial Thromboplastin Time
活化部分凝血活酶时间对照	Activated Partial Thromboplastin Time Control
活化部分凝血活酶时间比值	Activated Partial Thromboplastin Time Ratio
浅表淋巴结	Superficial lymph nodes
海藻	Seaweed
涎液化糖链抗原	Sialyl Lewis X Antigen
涎液化糖链抗原-6	Sialylated Carbohydrate Antigen - 6
淀粉酶（尿）	Amylase in Urine
淀粉颗粒	Starch Granules
淋巴细胞百分比	% Lymphocyte
淋巴细胞百分比	Lymphocytes Percentage
淋巴细胞绝对值	Lymphocyte Absolute Value
深吸气量	Deep Inspiratory Capacity
深睡眠潜伏期（分钟）	Deep Sleep Latency [m]
混合性的	Mixed
混合草	Mixed grasses
混合重金属 IgG+IgA	Mixed Heavy Metals IgG+IgA
混合重金属 IgM	Mixed Heavy Metals IgM
清晰度	Clarity
清洁度	Cleanliness
温度校正后二氧化碳分压	Temperature-Corrected Partial Pressure of Carbon Dioxide
游离κ/λ比率	Free Kappa/Lambda Ratio
游离κ轻链	Free Kappa Light Chain
游离λ轻链	Free Lambda Light Chain
游离三碘甲状腺原氨酸	Free Triiodothyronine
游离前列腺特异性抗原	Free Prostate-Specific Antigen
游离前列腺特异抗原 / 前列腺特异抗原	Free Prostate - Specific Antigen/Prostate - Specific Antigen
游离甲状腺素	Free Thyroxine
游离睾酮	Free Testosterone
游离肉碱	Free Carnitine
游离脂肪酸	Free Fatty Acids
溶组织内阿米巴	Entamoeba histolytica
溶组织内阿米巴 / 迪斯帕内阿米巴	Entamoeba histolytica/dispar
溶组织阿米巴	Entamoeba histolytica
潮气容积	Tidal Volume
点青霉	Penicillium notatum
烟曲霉	Aspergillus fumigatus
烟曲霉抗体	Aspergillus fumigatus antibody
烟酸	Vitamin B3
烤南瓜籽	Pumpkin Seeds, roasted
烤杏仁	Almond, roasted
烤腰果	Cashew, roasted
烤花生	Peanut, roasted
烤葵花籽	Sunflower Seeds, roasted
熟三文鱼	Salmon, cooked
熟仿蟹肉	Imitation Crab, cooked
熟利马豆	Lima Bean, cooked
熟南瓜 + 熟西葫芦（泛指各种南瓜属蔬菜）	Pumpkin + Squash, cooked
熟四季豆	Green Bean, cooked
熟大比目鱼	Halibut, cooked
熟大蒜	Garlic, cooked
熟小扁豆	Lentil, cooked
熟山药 + 熟红薯	Yam + Sweet Potato, cooked
熟扇贝	Scallops, cooked
熟抱子甘蓝	Brussels Sprouts, cooked
熟斑豆	Pinto Bean, cooked
熟沙丁鱼 + 熟凤尾鱼	Sardine + Anchovy, cooked
熟洋葱 + 熟葱	Onion + Scallion, cooked
熟洋蓟	Artichoke, cooked
熟海鲈鱼	Sea Bass, cooked
熟火鸡肉	Turkey, cooked
熟牡蛎	Oyster, cooked
熟猪肉	Pork, cooked
熟玉米 + 水通道蛋白	Corn + Aquaporin, cooked
熟甜菜	Beet, cooked
熟白米 + 熟糙米	Rice, white + brown, cooked
熟白鱼	Whitefish, cooked
熟秋葵	Okra, cooked
熟红甘蓝 + 熟绿甘蓝	Cabbage, red + green, cooked
熟红鲷鱼	Red Snapper, cooked
熟罗非鱼	Tilapia, cooked
熟羊肉	Lamb, cooked
熟胡萝卜	Carrot, cooked
熟芦笋	Asparagus, cooked
熟花椰菜	Cauliflower, cooked
熟茄子	Eggplant, cooked
熟菜豆（红芸豆）	Kidney Bean, cooked
熟虾	Shrimp, cooked
熟蚕豆	Fava Bean, cooked
熟蛋白	Egg White cooked
熟蛋黄	Egg Yolk cooked
熟蛤蜊	Clam, cooked
熟螃蟹 + 熟龙虾	Crab + Lobster, cooked
熟西兰花	Broccoli, cooked
熟西葫芦	Zucchini, cooked
熟豌豆	Pea, cooked
熟野米	Wild Rice, cooked
熟金枪鱼	Tuna, cooked
熟香蕉	Banana, cooked
熟鱿鱼	Squid (Calamari), cooked
熟鲭鱼	Mackerel, cooked
熟鳕鱼	Cod cooked
熟鳟鱼	Trout, cooked
熟鸡肉	Chicken, cooked
熟鹰嘴豆	Garbanzo Bean, cooked
熟黑豆	Black Bean, cooked
熟（炸）白土豆	Potato, white, cooked (fried)
熟（烤）白土豆	Potato, white, cooked (baked)
燕麦	Oats
爆米花	Popped Corn
片形吸虫属 / 布氏姜片吸虫	Fasciola spp./ Fasciolopsis buski
牙周	Periodontal
牙齿	Teeth
牛奶	Cow’s Milk
牛奶	Milk
牛奶嗜乳脂蛋白	Milk Butyrophilin
牛奶巧克力	Milk Chocolate
牛油果	Avocado
牛磺酸	Taurine
牛肉	Beef
牛至	Oregano
特异β人绒毛膜促性腺激素	β-Human Chorionic Gonadotropin
犬复孔绦虫	Dipylidium caninum
狗毛屑	Dog Dander
猕猴桃	Kiwi
猪囊尾蚴IgG抗体	Cysticercus cellulosae IgG antibody
猪肉	pork
猫毛屑	Cat Dander
玉米	Corn
玉米油质蛋白	Corn Oleosin
环丙沙星	Ciprofloxacin
环孢子虫	Cyclospora cayetanensis
现病史	HPI
现病史	present illness
现病史简述	Brief of HPI
琥珀酸/肌酐比	Succinic acid/Creatinine Ratio
瓜尔胶	Gum Guar
瓜氨酸	Citrulline
甘氨酸	Glycine
甘胆酸	Glycocholic Acid
甜椒	Bell Pepper
生山核桃 + 烤山核桃	Pecan, raw + roasted
生巴西坚果 + 烤巴西坚果	Brazil Nut, raw + roasted
生开心果 + 烤开心果	Pistachio, raw + roasted
生榛子 + 烤榛子	Hazelnut, raw + roasted
生澳洲坚果 + 烤澳洲坚果	Macadamia Nut, raw + roasted
生物可利用睾酮人绒毛膜促性腺激素	Bioavailable testosterone
生物素	Blotin
生菜	Lettuce
生蘑菇 + 熟蘑菇	Mushroom, raw + cooked
生蜂蜜 + 加工过的蜂蜜	Honey, raw +processed
生鸡蛋	Egg, Raw
用力肺活量	Forced Vital Capacity
用药史	Medication History
用药指导	Medication instruction
甲型流感病毒	Influenza A virus
甲型肝炎抗体免疫球蛋白G	Hepatitis A Virus IgG Antibody
甲型肝炎抗体免疫球蛋白M	Hepatitis A Virus IgM Antibody
甲型肝炎病毒RNA	Hepatitis A Virus RNA
甲型肝炎病毒抗体	Hepatitis A virus antibody
甲基丙二酰/琥珀酰肉碱	Methymalonyl/Succinylcarnitine (C4DC)
甲基丙二酸	2-Methylpropanedioic acid
甲基丙二酸/肌酐比	Methylmalonic acid/Creatinine Ratio
甲氧基去甲肾上腺素	Methoxy-norepinephrine
甲氧基肾上腺素	methoxymetanephrine
甲状旁腺激素	Parathyroid Hormone
甲状腺球蛋白	Thyroglobulin
甲状腺球蛋白 IgG	Thyroglobulin IgG
甲状腺球蛋白抗体	Thyroglobulin Antibodies
甲状腺素结合球蛋白	Thyroxine-binding Globulin
甲状腺过氧化物酶 IgG	Thyroid Peroxidase IgG
甲状腺过氧化物酶抗体	Anti-thyroid peroxidase antibody
甲状腺过氧化物酶抗体	Thyroid Peroxidase Antibodies
甲状腺（外科）	Thyroid (Surgical)
甲胎蛋白异质体L3	Lens Culinaris Agglutinin-reactive Alpha-fetoprotein
甲酰氨基戊二酸	Formiminoglutamate
甲酸	Formic Acid
甲醛和戊二醛 IgG+IgA	Formaldehyde and Glutaraldehyde IgG+IgA
甲醛和戊二醛 IgM	Formaldehyde and Glutaraldehyde IgM
男性46XY	Male 46XY
画眉草	Teff
番茄 + 水通道蛋白	Tomato + Aquaporin
番茄酱	Tomato Paste
畸形精子	Abnormal Sperm Morphology
疱疹病毒	Herpes Simplex Virus
病史与体格检查记录	History and Physical note
病理性管型	Pathological Casts
瘦体重	Lean body mass
癸二烯酰肉碱	Decadienoylcarnitine
癸烯酰肉碱	DECENOYLCARNITINE C10:1
癸酰基	Decanoyl (C10)
登革热病毒IgG抗体	Dengue virus IgG antibody
登革热病毒IgM抗体	Dengue virus IgM antibody
登革热病毒非结构蛋白1抗原（NS1抗原）	Dengue virus non - structural protein 1 antigen (NS1 antigen)
白介素10	Interleukin-10
白介素12p70	Interleukin-12p70
白介素17	Interleukin-17
白介素1β	Interleukin-1Beta
白介素2	Interleukin-2
白介素4	Interleukin-4
白介素5	Interleukin-5
白介素6	Interleukin-6
白介素8	Interleukin-8
白细胞分类	White Blood Cell Differential
白色念珠菌 / 都柏林念珠菌	Candida albicans/dubliniensis
白色念珠菌S3抗体	Candida Albicans S3 Antibody
白色念珠菌抗体	Candida albicans Antibody
白色念球菌	Candida albicans
白葡萄酒	White Wine
白蛋白/球蛋白比率	Albumin/Globulin Ratio
白蜡	Ash
白软干酪	cottage cheese
百慕大草	Bermuda Grass
百里香	Thyme
皮肤	Skin
皮质醇	Cortisol
皮质醇（16:00）	Cortisol (16:00)
皮质醇（24:00）	Cortisol (24:00)
皮质醇（8:00）	Cortisol (8:00 AM)
直接低密度脂蛋白	Direct Low-Density Lipoprotein
直接胆红素	Direct Bilirubin
相位角	Phase angle
真菌	Fungi
眼底镜检查	Funduscopy
眼科其他	Others in Ophthalmology
着丝粒B抗体	Centromere B Antibodies
睡液酸苷酶	Sialidase
睡眠中觉醒时间	WASO
睡眠效率（百分比）	Sleep Efficiency %
睡眠潜伏期（分钟）	Sleep Latency(m)
睡眠阶段转换（指数）	Sleep Stage Change (Index)
睾酮	Testosterone
矫正视力（右）	Corrected visual acuity (Right)
矫正视力（左）	Corrected visual acuity (Left)
短链脂肪酸（总量 *）（乙酸盐、正丁酸盐、丙酸盐）	Short-Chain Fatty Acids (SCFA) (Total*) (Acetate, n-Butyrate, Propionate)
石榴	Pomegranate
矿物质	Mineral
砷	Arsenic
硒	Selenium
硫胺素	Vitamin B1
硫酸脱氢表雄酮	Dehydroepiandrosterone sulfate
硬皮病抗体(Scl-70)	Scleroderma-70 Antibodies
硬脂酸	Stearic Acid
硬酰基	Stearoyl (C18)
碱性磷酸酶	Alk Phosphatase
碳14-尿素呼⽓试验	Carbon-14 urea breath test
碳氧血红蛋白	Carboxyhemoglobin
碳酸氢根浓度	Bicarbonate Concentration
碳酸氢盐	Bicarbonate
磁共振成像骨骼肌指数	Skeletal Muscle Index by MRI
磷酸丝氨酸	Phosphoserine
磷酸乙醇胺	Phosphoethanolamine
磷酸盐	Phosphate
磺硫酸法蛋白定性	Qualitative test of urinary protein of sulfosalicylic acid method
社会史	Social history
神经元特异性烯醇化酶	Neuron-Specific Enolase
神经元电压门控钾通道抗体	Neuronal (V-G) K+ Channel Ab
神经肽Y	Neuropeptide Y
神经酸	Nervonic Acid
神经酸 24:1 n-9	Nervonic 24:1n9
空泡毒素	Vacuolating Cytotoxin
空腹血糖	Fasting Plasma Glucose
突触蛋白	Synapsin
端粒长度	Telomere Length
端粒长度百分位数	Telomere Percentile (Relative to others in the same age group)
第一秒用力呼气容积	Forced Expiratory Volume in 1 Second
等孢球虫属	Cystoisospora spp.
管型	Casts
米糕	Rice Cake
类胰岛素生长因子1	Insulin-like Growth Factor 1
类风湿因子	Rheumatoid Factor
粘液丝	Mucous Threads
粪便中的连蛋白家族肽	Zonulin Family Peptide, Stool
粪便免疫检测	Fecal Immunochemical Test
粪便分泌型免疫球蛋白 A	Fecal secretory IgA
粪便潜血	Fecal Occult Blood
粪便脂肪（总量）	Fecal Fat(total)
粪曲霉抗体	Aspergillus fumigatus Antibody
粪类圆线虫	Strongyloides stercoralis
粪肠球菌	Enterococcus faecalis
精子存活率	Sperm Viability
精子形态	Sperm Morphology
精子数量	Sperm Count
精子活动力	Sperm Motility
精氨酸	Arginine
精氨酸琥珀酸	Argininosuccinic Acid
精液pH值	Semen pH
精液中白细胞数	White Blood Cell Count in Semen
精液液化时间	Semen Liquefaction Time
精液量	Semen Volume
精液颜色	Semen Color
精神状态	Mental Status
糖化白蛋白	Glycated Albumin
糖化血红蛋白	Glycated Hemoglobin
糖类抗原15-3	Carbohydrate Antigen 15-3
糖类抗原24-2	Carbohydrate Antigen 24-2
糖类抗原50	Carbohydrate Antigen 50
糖类抗原72-4	Carbohydrate Antigen 72-4
系统回顾	Review of systems
红甘蓝 + 绿甘蓝	Cabbage, red + green
红细胞	Red Blood Cells
红细胞信息	Red Blood Cell Information
红细胞内游离原卟啉	Free Erythrocyte Protoporphyrin
红细胞内粘度	Erythrocyte Internal Viscosity
红细胞分布宽度	Red blood cell distribution width
红细胞分布宽度-变异系数	Red blood cell distribution width - coefficient of variation
红细胞分布宽度-标准差	Red Cell Distribution Width-Standard Deviation
红细胞刚性指数	Erythrocyte Rigidity Index
红细胞压积	Hematocrit
红细胞电泳指数	Erythrocyte Electrophoresis Index
红细胞电泳时间	Red Blood Cell Electrophoresis Time
红花油质蛋白 + 葵花籽油质蛋白	Safflower + Sunflower Oleosin
红葡萄 + 绿葡萄	Grape red + green
红葡萄酒	Red Wine
红辣椒	red pepper
纤溶酶原	Plasminogen
纤维蛋白	Fibulin
线索细胞	Clue Cells
组氨酸	Histidine
组织多肽特异性抗原	Tissue Polypeptide-Specific Antigen
组胺	Histamine
细胞内液	Intracellular water
细胞外液	Extracellular water
细胞外液碱剩余	Base Excess of Extracellular Fluid
细胞毒性自然杀伤细胞百分比	% Cytotoxic NK cells
细胞毒性（CD8）T 细胞百分比	% Cytotoxic (CD8) T Cell
细胞毒素	Cytotoxin
细胞电泳	Cell Electrophoresis
细胞色素 P450（肝细胞）	Cytochrome P450 (Hepatocyte)
细胞角蛋白19片段	Cytokeratin 19 Fragment
细胞量	Cellularity
细菌性阴道病	Bacterial Vaginosis
结合胆红素	Conjugated Bilirubin
结果概述	Summary of Results
结核分枝杆菌	Mycobacterium tuberculosis
结核菌T-N值	Tuberculosis Bacteria T - N Value
结缔组织	Connective Tissue
结肠内阿米巴	Entamoeba coli
结肠小袋纤毛虫	Balantidium coli
给药记录	Administered medications
绦虫属	Taenia spp.
维生素 A	Vitamin A
维生素 C	Vitamin C
维生素 D3	Vitamin D3
维生素 E	Vitamin E
维生素 K2	Vitamin K2
维生素A	Vitamin A
维生素B1	Vitamin B1
维生素B12	Vitamin B12
维生素B2	Vitamin B2
维生素B3	Vitamin B3
维生素B5	Vitamin B5
维生素B6	Vitamin B6
维生素B7	Vitamin B7 (Biotin)
维生素B9	Vitamin B9 (Folate)
维生素D	Vitamin D
维生素D2	Vitamin D2
维生素D3	Vitamin D3
维生素E	Vitamin E
维生素K1	Vitamin K1
维生素K2	Vitamin K2
绿脓杆菌抗体	Pseudomonas aeruginosa Antibody
缩小膜壳绦虫	Hymenolepis diminuta
缬氨酸	Valine
网织红细胞计数	Reticulocyte Count
罗勒	Basil
罗氏菌属	Roseburia spp.
羊肉	Lamb
羟脯氨酸	Hydroxyproline
羟赖氨酸	Hydroxylysine
耳鼻咽喉科其他	Others in Otorhinolaryngology
职业	occupation
肉桂	Cinnamon
肉碱	Carnitine
肉胶	Meat Glue
肉豆蔻	Nutmeg
肉豆蔻酸	Myristic Acid
肌内膜抗体	Endomysial Antibodies
肌动球蛋白 IgA	Actomyosin IgA
肌氨酸	Sarcosine
肌红蛋白	Myoglobin
肌纤维	Muscle Fibers
肌肉控制	Muscle control
肌肉评分	Muscle score
肌肽	Carnosine
肌酸激酶	creatine kinase
肌酸激酶同工酶MB	Creatine Kinase - MB
肌酸激酶同工酶MB相对指数	CK-MB Relative Index
肌醇	Inositol
肌钙蛋白T	Troponin T
肛门、直肠指诊	Anus and digital rectal examination
肝吸虫IgG抗体	Clonorchis sinensis IgG antibody
肝脏触诊	Liver Palpation
肠道病毒71型IGM抗体	Enterovirus 71 IgM Antibody
肠道病毒通用型IgM抗体	Enterovirus Generic IgM Antibody
肺吸虫IgG抗体	Paragonimus westermani IgG antibody
肺总量	Total Lung Capacity
肺泡通气量	Alveolar Ventilation
肺活量	Vital Capacity
肺炎支原体IgM抗体	Mycoplasma Pneumonia IgM
肺炎支原体抗体	Mycoplasma Pneumonia antibody
肺部听诊	Auscultation of Lungs
肾上腺素	epinephrine
肾小球滤过率	Glomerular Filtration Rate
肾脏触诊	Renal Palpation
肿瘤坏死因子α	Tumor Necrosis Factor-Alpha
肿瘤细胞	Tumor Cells
胃泌素17	gastrin-17
胃泌素释放肽前体	Progastrin-releasing peptide
胃蛋白酶原I	Pepsinogen I
胃蛋白酶原II	Pepsinogen II
胃蛋白酶原I与II比值	Pepsinogen I/II Ratio
胆囊收缩素	Cholecystokinin
胆固醇/高密度脂蛋白比率	Cholesterol/HDL Ratio
胆固醇晶体	Cholesterol Crystals
胆汁酸	Bile Acid
胆碱	Choline
胆碱酯酶	Cholinesterase
胡桃	Walnut
胡萝卜	Carrot
胰岛素	Insulin
胰岛素(一小时)	Insulin (1 hour)
胰岛素(三小时)	Insulin (3 hour)
胰岛素(两小时)	Insulin (2-hour)
胰岛素(半小时)	Insulin (30 minutes)
胰岛素瘤抗原 2 自身抗体	IA-2 Autoantibody
胰岛细胞抗体	islet cellular antibody
胰腺弹性蛋白酶 1†	Pancreatic Elastase 1 †
胱抑素C	Cystatin C
胱硫醚	Cystathionine
胶原蛋白复合物	Collagen Complex
脂多糖 (LPS) IgA	Lipopolysaccharides (LPS) IgA
脂多糖 (LPS) IgG	Lipopolysaccharides (LPS) IgG
脂多糖 (LPS) IgM	Lipopolysaccharides (LPS) IgM
脂类	Lipid profile
脂肪控制	Fat control
脂肪球	Fecal Fat Globules
脂肪评分	Fat score
脂肪量指数	Fat Mass Index
脂蛋白(a)	Lipoprotein(a)
脂蛋白相关磷脂酶A2	Lipoprotein-Associated Phospholipase A2
脆弱双核阿米巴	Dientamoeba fragilis
脊柱	Spine
脑啡肽	Enkephalins
脓细胞	Purulent cells
脯氨酸	Proline
脯氨酸氨基肽酶	Proline Iminopeptidase
脱唾液酸神经节苷脂	Asialoganglioside
脾脏触诊	Spleen Palpation
腌绿橄榄 + 腌黑橄榄	Olive, green + black, pickled
腌黄瓜	Cucumber, pickled
腭	Palate
腮腺	Parotid Gland
腰果	Cashew
腰果豌豆球蛋白	Cashew Vicilin
腺病毒DNA	Adenovirus DNA
腺病毒IgG抗体	Adenovirus IgG Antibody
腺病毒IgM抗体	Adenovirus IgM Antibody
腺病毒PCR	Adenovirus PCR
腺病毒RNA	Adenovirus RNA
腺病毒抗体	Adenovirus Antibody
腺病毒特异性抗原	Adenovirus Specific Antigen
臀围	Hip circumference
自然杀伤 T 细胞百分比	% NKT
自然杀伤细胞百分比	% NK Cell
臭气杆菌属	Odoribacter spp
舌	Tongue
舌下腺	Sublingual Gland
舒巴坦	Sulbactam
色氨酸	Tryptophan
色觉	Color vision
艾蒿	Artemisia
芒果	Mango
芝麻	Sesame
芝麻油质蛋白	Sesame Oleosin
芝麻清蛋白	Sesame Albumin
